Weather,Time of Day (minutes),Number of People
snowy,3409,81
sunny,3400,47
sunny,9290,40
sunny,4731,35
rainy,7501,87
sunny,4755,64
rainy,9625,93
windy,9723,36
sunny,6059,15
snowy,3516,31
windy,9328,79
sunny,8455,28
snowy,4058,39
rainy,6666,79
rainy,5615,61
windy,8733,54
sunny,7970,40
snowy,7182,22
windy,3503,39
snowy,4907,35
windy,3506,60
sunny,4260,1
windy,5011,55
windy,5862,61
windy,673,56
windy,4426,51
snowy,1224,90
windy,238,26
snowy,1013,78
snowy,2238,61
sunny,9958,38
windy,4484,56
snowy,4834,71
sunny,743,77
rainy,4957,102
snowy,9716,58
windy,8691,18
snowy,8157,47
rainy,1170,132
windy,2071,32
sunny,2347,27
sunny,409,23
sunny,6918,16
rainy,8907,103
windy,9936,74
sunny,8854,36
windy,9069,61
windy,5985,27
snowy,5348,52
rainy,9599,97
snowy,5203,57
windy,959,40
snowy,9009,68
windy,8544,62
windy,5501,43
snowy,6224,66
rainy,2694,87
rainy,7687,93
windy,5584,10
snowy,8022,77
rainy,5185,66
snowy,1755,54
rainy,583,73
sunny,210,60
snowy,7449,67
windy,1939,36
rainy,9227,91
rainy,3051,70
windy,63,29
snowy,4557,83
windy,4501,34
rainy,2931,88
rainy,1632,86
rainy,3481,64
sunny,1344,15
snowy,4642,63
sunny,3413,14
sunny,5118,39
snowy,8177,60
windy,4123,23
windy,4259,53
snowy,811,72
snowy,1659,60
windy,4324,45
sunny,6090,45
windy,3719,7
snowy,1510,60
rainy,8135,88
rainy,9386,78
rainy,5601,95
sunny,8959,11
rainy,7364,80
sunny,672,38
rainy,6337,69
snowy,4918,71
rainy,9933,66
snowy,1025,28
sunny,1257,35
windy,2809,15
snowy,7707,78
snowy,9447,55
sunny,2717,64
sunny,186,25
rainy,9076,80
rainy,1642,91
windy,2490,38
rainy,6731,106
windy,1142,73
rainy,9409,60
rainy,1274,69
rainy,8884,73
snowy,2244,81
sunny,3397,36
windy,6315,17
snowy,6760,37
snowy,575,37
rainy,9302,63
sunny,6876,24
sunny,3962,40
snowy,5410,71
snowy,9563,31
sunny,46,27
sunny,10048,18
windy,7471,38
sunny,7306,41
sunny,157,46
snowy,6939,58
sunny,7330,41
rainy,2254,47
snowy,290,62
sunny,8360,22
snowy,2365,50
windy,4518,42
rainy,3924,82
snowy,6603,45
rainy,8341,68
rainy,158,64
rainy,692,83
snowy,5954,70
rainy,3699,84
rainy,6458,104
rainy,7604,93
snowy,8864,40
rainy,9582,125
rainy,878,73
windy,8344,39
snowy,2465,70
rainy,4313,58
windy,3747,19
windy,7251,37
rainy,375,80
windy,6483,16
snowy,3026,75
rainy,5132,96
snowy,5172,60
rainy,420,80
rainy,1856,75
windy,1129,91
windy,7538,57
snowy,2043,62
rainy,9112,93
rainy,5607,94
snowy,119,64
snowy,5674,69
snowy,5532,76
snowy,5466,67
rainy,424,89
rainy,3038,84
snowy,8096,57
sunny,7629,32
windy,8258,40
snowy,2760,54
rainy,1789,69
rainy,5676,74
snowy,7979,70
rainy,7726,89
sunny,9705,45
rainy,3813,78
windy,8662,17
rainy,8797,104
snowy,8771,78
snowy,4134,50
sunny,2275,41
windy,7409,67
sunny,7327,37
rainy,4384,82
sunny,7938,40
sunny,9042,15
snowy,5444,61
sunny,8798,24
snowy,6133,52
sunny,8313,22
snowy,9265,48
sunny,8769,45
sunny,6658,42
rainy,1416,84
sunny,6430,28
snowy,2973,51
rainy,8290,61
rainy,5033,101
snowy,7642,76
sunny,437,29
sunny,6482,55
windy,7592,51
snowy,9280,66
sunny,1592,6
rainy,9370,87
windy,4051,52
sunny,2542,42
windy,3197,43
snowy,3481,51
snowy,8077,53
sunny,7892,46
rainy,4388,65
windy,1904,56
windy,6937,50
rainy,6565,47
snowy,8638,38
sunny,1188,54
snowy,8319,52
rainy,344,97
sunny,4762,33
rainy,4095,78
rainy,5319,62
sunny,6856,31
rainy,2315,97
snowy,4127,57
sunny,5970,22
snowy,153,81
sunny,9876,52
rainy,8907,82
sunny,4737,0
rainy,5802,65
rainy,5963,85
windy,4092,78
snowy,2352,55
sunny,8378,41
windy,3218,33
sunny,4041,34
rainy,7445,50
snowy,5598,60
rainy,6201,73
windy,8167,35
windy,9722,45
rainy,2308,85
windy,7390,40
sunny,3641,38
sunny,2442,32
snowy,3241,58
snowy,986,62
sunny,1473,32
windy,5803,20
sunny,1301,53
snowy,8977,60
sunny,7029,34
sunny,5595,43
sunny,9325,19
windy,1917,66
windy,4215,42
sunny,339,30
snowy,6823,28
windy,4688,36
sunny,2154,35
windy,2659,57
windy,8769,48
rainy,308,82
rainy,2340,76
snowy,3259,55
rainy,2524,53
snowy,603,64
sunny,4591,8
sunny,3148,58
sunny,1411,31
snowy,1765,52
windy,8785,54
snowy,9581,78
windy,2203,52
windy,9748,56
sunny,4777,34
sunny,9841,26
rainy,4344,88
rainy,9698,74
rainy,1532,53
snowy,7891,64
snowy,1220,53
snowy,3819,62
sunny,546,21
rainy,575,95
rainy,8969,128
sunny,2809,28
windy,5523,28
windy,9250,60
snowy,646,40
windy,9801,41
sunny,3395,24
windy,2391,54
windy,8626,35
snowy,8890,51
windy,2491,57
snowy,3767,89
snowy,6804,61
windy,4971,28
rainy,8996,86
snowy,4688,44
rainy,9314,84
sunny,5291,44
snowy,2813,79
snowy,5550,47
rainy,7762,87
windy,766,97
snowy,9960,63
snowy,2178,78
rainy,1210,95
rainy,9804,87
windy,773,53
snowy,1516,69
windy,641,46
rainy,7910,88
snowy,5668,50
windy,9332,27
rainy,2639,107
sunny,7895,26
rainy,7208,73
snowy,8036,55
sunny,5777,11
windy,3020,34
rainy,4306,62
rainy,3029,84
rainy,2572,54
windy,3468,40
sunny,1919,9
windy,2297,41
rainy,364,78
rainy,5826,87
snowy,8901,29
sunny,4326,34
sunny,8672,27
sunny,9965,29
windy,3778,43
windy,1247,28
windy,4830,27
snowy,9875,59
rainy,1182,155
sunny,8870,24
windy,896,60
sunny,10004,41
windy,9350,49
windy,6165,52
windy,4187,39
rainy,4224,69
sunny,3556,48
rainy,919,89
windy,2240,34
sunny,735,41
rainy,8977,63
windy,6169,62
snowy,8432,48
rainy,1875,77
windy,8718,16
windy,5810,26
rainy,3626,50
rainy,10073,74
snowy,7651,83
windy,4480,9
windy,3791,49
rainy,7950,81
rainy,1494,76
sunny,9442,19
sunny,7452,41
windy,5357,31
sunny,4902,31
rainy,4935,64
windy,6243,51
sunny,6917,27
sunny,9019,35
sunny,4570,29
sunny,5386,42
sunny,2788,48
snowy,4450,78
snowy,5831,85
windy,5838,46
windy,5100,51
rainy,8070,95
rainy,5159,103
sunny,7205,38
snowy,7769,54
rainy,8922,84
snowy,1629,81
rainy,5906,90
rainy,7990,79
rainy,207,107
snowy,2743,58
snowy,236,78
rainy,9058,77
sunny,1987,17
sunny,8678,33
sunny,5860,34
windy,10017,36
snowy,4853,52
snowy,156,65
windy,8904,29
snowy,634,82
windy,9371,70
rainy,8972,101
snowy,2581,82
rainy,2067,84
snowy,7486,60
snowy,4933,60
snowy,5488,58
windy,6570,28
snowy,5773,62
windy,8269,17
snowy,1830,42
windy,6818,31
rainy,3227,86
sunny,6434,45
sunny,4817,45
windy,3511,39
windy,5731,39
snowy,8723,85
rainy,7207,82
sunny,304,0
sunny,2766,40
sunny,5600,17
sunny,9908,31
snowy,2624,63
sunny,8687,47
snowy,5553,78
rainy,4047,81
sunny,7036,27
sunny,2487,10
rainy,8104,87
snowy,8697,57
windy,3965,49
windy,7415,49
snowy,9322,33
rainy,8976,87
rainy,7051,84
sunny,8552,0
windy,8025,45
snowy,1409,74
windy,1259,11
windy,7307,52
snowy,1713,72
snowy,2074,77
sunny,2818,25
windy,3353,38
sunny,416,40
windy,1285,46
snowy,7369,66
sunny,925,46
snowy,8981,62
snowy,2247,48
sunny,6421,53
rainy,8547,83
sunny,4375,34
snowy,8956,79
sunny,6823,16
rainy,8820,75
windy,449,43
snowy,9364,54
sunny,1192,117
snowy,2566,61
snowy,5359,77
windy,5707,32
rainy,8473,104
rainy,2177,96
windy,2626,34
sunny,10063,19
snowy,2454,66
windy,42,50
sunny,933,20
snowy,6845,78
rainy,1902,81
windy,1262,14
rainy,7640,88
snowy,7667,54
sunny,3782,22
snowy,7109,49
windy,9127,58
windy,8430,32
sunny,8208,8
rainy,7341,74
sunny,2722,36
rainy,6044,102
snowy,4333,67
sunny,4972,20
rainy,6696,61
windy,416,34
rainy,8179,63
windy,6376,37
windy,4800,42
windy,4250,37
snowy,4997,72
sunny,1726,28
rainy,4364,76
snowy,7312,79
snowy,413,62
rainy,4934,68
sunny,7782,26
snowy,2996,47
snowy,4959,81
rainy,4189,84
windy,7612,53
snowy,4791,88
sunny,6597,35
sunny,1862,40
windy,3513,37
sunny,496,20
snowy,2509,69
sunny,9532,38
windy,3538,16
rainy,1376,93
windy,1995,35
snowy,7010,77
snowy,5744,53
windy,5267,38
snowy,397,68
rainy,6495,95
rainy,7317,71
windy,449,67
snowy,340,59
windy,606,52
rainy,1053,74
snowy,7608,70
snowy,7532,57
sunny,5296,10
snowy,9955,59
rainy,7187,94
sunny,373,20
windy,40,36
sunny,829,36
windy,5733,10
rainy,8681,58
windy,7353,48
sunny,8460,19
windy,4331,34
snowy,9225,71
sunny,7087,37
rainy,2882,67
snowy,5450,43
rainy,9634,99
rainy,1287,83
sunny,1828,29
snowy,9389,69
sunny,3153,29
windy,1144,88
rainy,4238,84
sunny,9289,32
windy,20,3
sunny,7891,45
windy,8462,51
sunny,3469,35
windy,1518,63
snowy,639,30
windy,1139,66
snowy,2381,70
snowy,6908,70
windy,2494,34
snowy,2453,57
windy,9438,49
snowy,3305,50
snowy,1602,60
windy,5990,49
snowy,4404,61
rainy,9697,92
rainy,3332,61
snowy,4682,62
sunny,7420,22
sunny,4394,12
snowy,3442,58
windy,9897,42
windy,454,34
sunny,7115,36
sunny,113,42
windy,2666,41
rainy,6803,81
sunny,6079,44
sunny,1222,36
sunny,541,14
sunny,5643,42
rainy,9531,65
windy,1941,25
snowy,1864,39
sunny,2449,50
sunny,9225,52
rainy,8955,67
sunny,2446,19
windy,3835,64
snowy,7256,61
snowy,1442,76
sunny,7167,25
snowy,540,59
rainy,3248,67
sunny,5870,59
snowy,3156,68
snowy,6721,32
sunny,6371,38
snowy,4279,49
sunny,1393,4
windy,9999,50
snowy,8898,62
rainy,6929,87
snowy,1959,33
sunny,4589,17
rainy,6199,85
sunny,581,15
windy,6322,36
windy,6781,34
rainy,8093,73
rainy,9673,67
rainy,3454,74
rainy,5601,76
snowy,8321,54
sunny,86,33
rainy,8956,87
snowy,9493,56
snowy,7915,43
rainy,8836,89
windy,1700,51
windy,1220,49
rainy,5461,75
windy,6877,52
sunny,1807,27
rainy,8583,97
sunny,2737,37
windy,8024,58
sunny,7337,36
snowy,6223,54
rainy,7532,90
sunny,4159,30
snowy,1841,63
windy,5361,71
windy,8906,54
windy,7451,38
windy,5612,40
rainy,3280,104
snowy,8807,48
sunny,5550,27
rainy,3887,99
sunny,9256,53
snowy,8647,77
rainy,1169,140
rainy,6868,61
rainy,5472,91
rainy,8237,84
snowy,3973,66
sunny,8250,25
rainy,8359,71
rainy,4674,98
sunny,5524,49
windy,117,38
windy,6717,22
snowy,2479,48
windy,3972,21
rainy,1725,75
windy,6930,26
rainy,2431,99
rainy,6841,85
rainy,3598,80
windy,9445,27
windy,9151,43
rainy,9648,92
sunny,1664,21
windy,6234,36
rainy,8854,97
rainy,2794,85
snowy,2311,65
snowy,2888,67
windy,1980,26
windy,8493,75
snowy,2378,80
sunny,2301,32
rainy,1179,167
sunny,5468,10
sunny,6008,32
rainy,4643,82
sunny,9648,39
sunny,5054,14
sunny,519,44
snowy,2572,76
rainy,5634,71
rainy,6027,94
sunny,1499,12
windy,3506,9
sunny,2041,28
snowy,4544,34
windy,4308,44
snowy,9142,60
windy,4375,43
sunny,5161,12
sunny,2428,12
windy,4708,50
snowy,9251,62
snowy,53,72
sunny,9999,55
windy,8773,22
snowy,4948,53
windy,1069,33
rainy,989,73
snowy,5247,61
sunny,7040,26
snowy,3017,81
snowy,5762,59
sunny,8350,35
windy,6842,42
rainy,5490,84
windy,7321,46
snowy,10044,36
sunny,8357,50
rainy,2433,73
sunny,7345,30
windy,4012,49
rainy,6665,67
sunny,7304,23
rainy,5755,80
windy,2129,54
snowy,5251,51
sunny,584,47
windy,5990,46
snowy,7736,99
snowy,5697,77
rainy,9075,67
windy,6197,63
windy,9114,37
snowy,1510,66
snowy,7923,58
sunny,8165,31
snowy,3315,63
sunny,2783,0
snowy,2155,58
rainy,9218,73
sunny,2234,23
rainy,2767,83
windy,1011,31
windy,2375,43
rainy,7350,74
sunny,8809,24
sunny,1787,15
windy,5388,15
snowy,6578,63
snowy,6024,76
snowy,4482,70
rainy,250,57
snowy,320,40
rainy,9452,106
windy,4453,56
windy,7485,43
snowy,7917,66
snowy,8372,44
windy,374,43
sunny,1869,38
sunny,3075,45
sunny,228,30
windy,6180,50
sunny,4873,22
snowy,7828,64
snowy,3860,50
sunny,7143,41
rainy,6998,94
windy,56,17
sunny,5676,0
snowy,2355,68
snowy,6723,49
snowy,2626,58
sunny,5619,8
sunny,8777,10
sunny,5148,48
snowy,2654,59
rainy,8563,83
windy,7648,77
windy,6571,53
snowy,2022,53
windy,6271,28
windy,3436,55
snowy,470,80
windy,1272,35
snowy,4794,53
rainy,356,64
windy,6650,73
windy,3810,62
sunny,430,23
sunny,3682,62
windy,6668,36
sunny,117,2
snowy,9123,47
windy,9940,46
snowy,5903,64
windy,9849,35
sunny,7859,45
windy,7659,17
sunny,6492,29
windy,4302,32
snowy,5939,46
sunny,3397,4
sunny,5233,0
rainy,5396,103
windy,2950,42
snowy,982,69
snowy,3098,70
windy,7358,59
sunny,8001,7
windy,1780,45
snowy,4337,57
windy,2177,48
rainy,6608,39
windy,7,19
rainy,7865,77
windy,819,46
windy,8469,22
sunny,5451,23
windy,394,37
snowy,8894,101
rainy,3799,92
rainy,4876,88
snowy,7750,45
rainy,2805,66
sunny,8231,26
windy,7520,37
windy,2781,51
rainy,496,87
sunny,4891,18
snowy,3344,72
sunny,1371,23
snowy,5763,89
rainy,4218,75
rainy,9328,55
rainy,9831,104
sunny,7486,24
snowy,5065,48
snowy,2347,93
sunny,1962,40
windy,3000,49
rainy,387,70
windy,1782,8
rainy,7643,62
sunny,5588,30
windy,7517,29
windy,8523,46
sunny,326,22
rainy,1017,85
windy,4478,31
windy,3239,49
rainy,9759,66
snowy,1740,63
snowy,5042,59
snowy,5039,63
snowy,3875,70
sunny,75,40
sunny,8746,31
sunny,6756,29
windy,10056,37
sunny,1494,45
windy,3455,48
windy,6009,48
snowy,1679,42
rainy,6850,76
sunny,4075,27
snowy,5761,63
rainy,9272,88
rainy,6678,87
rainy,6264,73
snowy,8106,74
rainy,1880,97
sunny,9256,24
windy,8929,41
windy,5789,39
snowy,8282,55
snowy,6627,61
rainy,6154,85
windy,1048,45
sunny,4779,29
sunny,7177,23
sunny,5536,14
windy,5643,44
snowy,5073,69
rainy,6753,109
sunny,3739,24
snowy,4786,79
windy,7227,31
sunny,9389,43
rainy,7091,83
snowy,6861,54
rainy,601,65
windy,7096,38
sunny,7931,50
sunny,962,22
snowy,3970,72
snowy,7258,31
rainy,6857,81
windy,7457,36
windy,5634,59
snowy,9197,57
sunny,1233,41
sunny,8820,23
snowy,9015,89
snowy,8780,82
windy,7223,59
rainy,3949,110
windy,7407,44
windy,6940,27
rainy,5410,74
windy,7926,30
rainy,3946,102
snowy,8189,44
sunny,8376,9
windy,7301,16
rainy,8704,106
rainy,5113,60
snowy,9506,62
windy,6587,65
snowy,2314,41
snowy,5219,66
sunny,9666,31
windy,978,47
snowy,8583,43
windy,2365,63
snowy,2494,58
rainy,2016,104
windy,6183,27
snowy,9874,42
snowy,3686,39
rainy,5084,57
windy,4949,44
windy,7237,57
windy,2945,25
windy,2550,37
windy,6214,34
rainy,1022,57
sunny,7838,46
sunny,5856,21
sunny,6185,39
sunny,8841,15
snowy,8914,64
windy,7242,27
windy,5770,40
rainy,9644,55
snowy,4786,28
sunny,1910,42
snowy,8707,44
sunny,1313,21
rainy,4925,77
snowy,1032,46
snowy,5710,63
snowy,1530,87
snowy,2200,60
rainy,9898,92
sunny,3307,25
rainy,5360,63
snowy,8208,58
sunny,3556,18
windy,2761,18
windy,3771,10
sunny,7781,34
rainy,8048,71
snowy,2953,54
snowy,1472,84
rainy,8336,90
rainy,1313,58
sunny,3346,25
rainy,4214,92
sunny,2417,30
windy,9890,37
rainy,8715,59
snowy,8784,53
rainy,5253,77
rainy,7655,92
windy,2660,49
snowy,7634,67
snowy,5985,37
rainy,2027,73
sunny,1296,14
snowy,2814,55
rainy,1085,137
windy,5480,65
sunny,9630,60
sunny,807,55
sunny,5631,55
rainy,8987,67
sunny,8750,14
windy,6990,31
sunny,2227,26
windy,4112,23
windy,4221,19
rainy,1452,67
rainy,6110,75
rainy,9888,79
windy,3802,40
windy,8238,28
snowy,9466,81
windy,6644,61
rainy,4249,63
sunny,6605,23
snowy,153,60
windy,7819,56
snowy,1298,62
rainy,88,59
rainy,2627,48
rainy,8694,77
sunny,3362,22
windy,6201,51
rainy,864,65
sunny,794,49
rainy,7655,89
snowy,9801,48
windy,8279,67
sunny,796,5
rainy,6335,54
sunny,1353,20
rainy,7472,90
snowy,5618,50
snowy,6567,29
rainy,8810,92
rainy,1131,142
rainy,6086,89
windy,4240,37
snowy,3514,75
windy,2962,19
windy,6709,17
rainy,4753,104
windy,192,56
rainy,321,67
sunny,8297,26
windy,6985,25
sunny,1819,21
sunny,913,36
windy,3306,28
sunny,1557,44
snowy,9821,65
sunny,8183,16
sunny,7208,56
snowy,7110,50
windy,7586,45
sunny,3783,16
sunny,8067,20
windy,5495,55
sunny,4057,8
rainy,1583,72
snowy,4989,69
sunny,4564,40
snowy,6387,66
rainy,2563,63
rainy,9989,96
sunny,7411,0
sunny,1226,50
rainy,3018,75
snowy,4127,62
rainy,7553,79
snowy,502,82
rainy,9718,71
windy,3733,20
windy,414,57
rainy,1061,90
snowy,5631,51
rainy,8012,77
windy,8845,42
sunny,8563,26
sunny,3463,39
sunny,5244,37
rainy,7479,106
snowy,2865,64
snowy,3931,72
rainy,3588,67
sunny,2476,59
windy,5401,16
sunny,2802,40
snowy,4480,65
sunny,4966,29
sunny,2351,9
rainy,4847,67
windy,5142,70
rainy,4135,87
rainy,2872,92
snowy,9470,87
rainy,2119,67
windy,2211,45
sunny,5603,30
snowy,9010,40
snowy,4951,72
snowy,3246,44
sunny,2641,18
rainy,6447,69
sunny,9360,22
rainy,7063,72
windy,6710,50
windy,4469,4
windy,7924,48
windy,447,41
windy,4175,25
snowy,7589,65
sunny,2491,48
snowy,8951,43
sunny,8875,36
snowy,7725,55
sunny,2343,39
windy,4232,2
sunny,3411,24
rainy,5885,70
sunny,2178,38
rainy,8506,59
sunny,8855,43
windy,7802,56
windy,9688,31
windy,5523,44
sunny,4150,42
rainy,6416,103
snowy,839,65
sunny,5535,29
windy,3066,37
rainy,1842,77
rainy,6865,86
snowy,5109,40
snowy,7497,44
rainy,3444,85
windy,4520,18
windy,3525,41
snowy,5814,54
rainy,5317,38
sunny,3544,24
snowy,1119,119
sunny,1677,45
windy,4978,34
windy,7139,60
sunny,761,91
windy,9255,58
windy,902,60
windy,7185,22
sunny,9335,15
sunny,3640,2
rainy,2100,83
windy,1748,25
rainy,4468,63
snowy,1385,78
snowy,5096,57
rainy,7141,66
snowy,3388,43
windy,11,55
sunny,4180,41
windy,3694,36
windy,2815,36
snowy,3965,47
snowy,6448,61
snowy,411,68
rainy,4800,58
snowy,6265,81
rainy,6818,77
snowy,6669,42
snowy,8127,88
sunny,6592,37
snowy,4392,44
snowy,8988,58
sunny,2784,14
windy,9732,20
snowy,1527,31
snowy,12,49
sunny,3411,17
snowy,8508,73
sunny,1134,91
sunny,566,43
snowy,5425,84
sunny,6146,38
snowy,1870,59
sunny,4172,44
rainy,3563,86
snowy,687,78
rainy,4429,96
sunny,1497,8
sunny,2801,26
windy,9704,45
windy,801,32
sunny,6112,16
sunny,33,53
rainy,8263,72
windy,6918,42
rainy,3424,72
sunny,3095,41
snowy,8216,66
snowy,6966,37
sunny,412,20
snowy,4644,70
snowy,7971,51
windy,7047,43
sunny,1886,29
snowy,7003,78
snowy,6477,58
rainy,1272,99
sunny,9338,52
rainy,3326,93
snowy,1187,89
snowy,8640,98
windy,1390,31
rainy,2020,72
windy,3935,41
windy,6382,85
rainy,9852,96
sunny,2163,27
snowy,6099,80
sunny,7069,48
rainy,8283,97
snowy,3602,50
sunny,2531,25
sunny,1117,70
snowy,2395,96
windy,7909,26
rainy,9979,71
snowy,6656,46
sunny,9819,49
snowy,5608,42
sunny,2796,21
rainy,1306,86
snowy,3588,60
rainy,368,104
sunny,565,38
sunny,10042,43
sunny,5771,16
sunny,6824,45
windy,5384,35
snowy,1455,44
snowy,7565,45
snowy,5161,68
windy,7013,27
rainy,3770,91
windy,1701,23
sunny,9741,38
windy,2681,37
sunny,1903,33
sunny,2012,29
snowy,7860,27
rainy,7772,94
rainy,405,82
windy,6225,31
windy,6736,30
rainy,2245,80
windy,8660,47
snowy,4340,65
rainy,593,80
rainy,8744,81
windy,8615,59
sunny,7703,27
windy,304,30
snowy,995,72
snowy,511,47
windy,5148,63
rainy,5650,56
snowy,1178,112
rainy,9613,77
sunny,7060,28
rainy,6226,57
rainy,4974,93
sunny,1173,89
windy,3219,25
windy,9298,45
windy,5861,22
sunny,4520,24
snowy,2929,75
rainy,5852,65
windy,7540,40
snowy,2109,73
windy,2858,19
windy,8701,42
sunny,5878,29
rainy,3974,83
snowy,4591,71
sunny,3975,32
sunny,3061,52
snowy,2336,96
windy,4514,39
snowy,1013,57
windy,5278,31
windy,7795,43
rainy,467,67
snowy,7695,87
rainy,8888,85
windy,4430,55
rainy,2741,92
snowy,6538,29
snowy,2727,65
sunny,9359,25
sunny,1558,35
windy,5902,18
snowy,5869,62
snowy,8873,44
snowy,9856,61
snowy,7205,74
rainy,6465,80
windy,7007,49
windy,7830,46
windy,6977,30
windy,9881,29
rainy,3006,109
windy,8647,34
rainy,6709,74
windy,4996,21
windy,7694,33
snowy,3614,53
snowy,2664,43
windy,8992,35
rainy,4063,79
windy,2116,45
sunny,8576,39
snowy,10066,43
sunny,161,23
rainy,6701,76
snowy,7594,63
sunny,6830,50
sunny,9066,6
sunny,8323,42
snowy,9106,65
windy,7841,40
snowy,7281,57
sunny,4136,27
rainy,1991,85
rainy,4255,52
rainy,1389,45
sunny,18,59
rainy,1857,80
windy,7275,32
windy,5752,63
windy,6824,57
sunny,9988,22
rainy,4806,80
rainy,6972,101
snowy,2522,62
windy,3581,49
sunny,6867,6
snowy,1607,41
windy,3351,51
snowy,7293,45
rainy,544,79
snowy,4999,34
windy,6246,49
sunny,7344,58
rainy,4228,111
windy,4603,59
sunny,5249,47
rainy,9191,87
rainy,8359,63
sunny,468,2
snowy,8963,56
rainy,4402,73
rainy,9316,87
windy,6417,43
sunny,7243,4
rainy,4308,58
sunny,767,83
snowy,4400,33
windy,3542,43
windy,1319,35
sunny,5515,43
snowy,5414,33
snowy,1819,72
rainy,723,117
sunny,7990,9
snowy,1208,57
rainy,7726,66
rainy,403,72
windy,8980,52
snowy,6699,73
sunny,8602,24
sunny,880,37
snowy,5593,80
snowy,2885,75
snowy,5748,61
snowy,6491,61
windy,7859,33
snowy,1186,131
snowy,432,41
sunny,7606,46
sunny,5768,32
rainy,3905,80
snowy,629,70
rainy,7175,84
rainy,5257,116
sunny,331,24
sunny,9404,8
rainy,3442,86
rainy,2403,57
rainy,3544,81
rainy,5495,67
windy,8037,49
sunny,5777,23
snowy,8212,57
sunny,8653,18
windy,6674,24
sunny,6039,25
rainy,4782,105
windy,8161,34
snowy,2103,50
windy,8759,41
sunny,6535,46
sunny,9336,41
windy,3677,44
rainy,7435,79
rainy,9807,51
rainy,5150,102
sunny,574,0
snowy,425,85
windy,4717,36
rainy,7078,77
snowy,6478,35
rainy,9601,88
snowy,1206,83
windy,7772,31
rainy,4769,101
sunny,8959,25
snowy,681,73
rainy,2669,69
windy,5900,42
rainy,7879,93
windy,9472,33
sunny,8884,32
rainy,6316,60
rainy,2643,100
snowy,5025,89
windy,1819,40
rainy,7656,80
windy,6854,68
rainy,4427,90
rainy,828,76
windy,2749,55
snowy,5376,55
snowy,9644,72
windy,2000,45
windy,5710,59
windy,1163,97
rainy,9506,84
windy,1532,0
windy,4769,54
rainy,8183,85
sunny,8920,50
rainy,8650,76
windy,2135,26
snowy,5388,68
snowy,4102,53
snowy,3832,68
rainy,6185,72
windy,952,58
rainy,9681,76
windy,8642,48
rainy,5548,95
snowy,5672,50
sunny,4076,37
windy,6228,57
rainy,5495,78
windy,1209,25
rainy,2333,83
rainy,8140,95
rainy,6021,95
rainy,9964,43
windy,2999,39
sunny,2880,57
windy,880,67
windy,2768,54
sunny,2198,14
sunny,6117,16
windy,4720,25
snowy,192,44
windy,5370,24
sunny,1871,20
windy,6899,20
sunny,4301,45
rainy,1170,142
sunny,5424,32
rainy,661,90
rainy,2628,74
snowy,8624,45
sunny,1380,36
snowy,4236,44
windy,7746,25
sunny,9319,48
snowy,2767,48
windy,500,45
snowy,9950,42
snowy,38,48
windy,5151,20
windy,9969,39
sunny,4845,50
sunny,9402,52
rainy,9380,85
windy,755,67
sunny,8281,0
windy,9230,40
windy,7974,43
windy,5577,55
snowy,5399,55
sunny,223,34
rainy,7934,65
snowy,8682,63
snowy,1872,40
snowy,8670,51
rainy,485,77
windy,5413,45
sunny,730,79
sunny,440,31
sunny,5429,23
windy,6590,46
windy,8897,31
rainy,381,72
windy,5515,43
rainy,4563,73
rainy,6870,72
rainy,7590,81
snowy,8522,71
snowy,5944,74
rainy,7329,82
rainy,1418,76
rainy,193,95
sunny,5006,20
sunny,5987,23
windy,8534,37
rainy,9147,58
snowy,3136,69
windy,5311,25
rainy,5720,78
rainy,1117,130
windy,541,29
windy,1739,5
rainy,3179,80
sunny,4808,23
sunny,5423,48
rainy,4683,69
sunny,7486,7
windy,1636,24
rainy,474,95
snowy,1499,73
sunny,1516,39
sunny,3283,13
windy,4998,28
snowy,318,68
sunny,3372,20
rainy,4629,83
snowy,3955,55
sunny,725,69
windy,3166,45
windy,1333,37
snowy,2207,65
sunny,9136,32
sunny,5049,31
snowy,5050,54
rainy,3582,63
sunny,8122,22
snowy,5876,47
snowy,410,44
windy,10048,26
snowy,9628,53
windy,1137,100
sunny,2259,34
sunny,5247,14
rainy,4050,71
snowy,4759,77
windy,5458,48
snowy,9384,63
windy,303,34
sunny,7622,28
windy,5582,25
sunny,8812,18
sunny,1539,4
sunny,8036,16
rainy,2592,58
snowy,6837,59
rainy,1897,82
windy,6412,40
windy,7822,29
rainy,7878,70
sunny,2923,18
rainy,6594,66
rainy,9841,96
rainy,4500,100
windy,9214,43
sunny,9864,46
sunny,665,30
rainy,8489,88
sunny,7032,28
snowy,9293,56
snowy,2852,77
rainy,4790,70
windy,637,44
windy,2972,56
snowy,4056,63
snowy,4311,82
sunny,7965,11
sunny,2197,31
rainy,5077,75
sunny,6791,34
sunny,6546,15
sunny,9891,37
sunny,1709,26
windy,9631,17
sunny,846,53
snowy,10022,74
windy,1373,48
rainy,4092,88
rainy,9536,57
sunny,2058,8
sunny,89,37
rainy,6919,94
windy,3227,52
windy,616,35
windy,8332,44
rainy,6690,68
snowy,1569,71
sunny,3169,28
windy,5653,45
sunny,3297,16
sunny,4211,0
windy,1022,29
snowy,2207,58
windy,2866,48
rainy,6548,77
windy,3923,37
rainy,2741,78
sunny,4729,7
sunny,1145,72
snowy,4869,51
rainy,1312,90
windy,5742,2
